64239701,Freida,Garbett,fgarbett18@china.com.cn,11,23 Cottonwood Park,0
73668933,Alia,Carvil,acarvil19@admin.ch,17,23 International Terrace,1
37636158,Netti,Mandre,nmandre1a@feedburner.com,20,597 Arkansas Place,0
37074125,Brocky,Clynman,bclynman1b@jalbum.net,13,635 Golf View Circle,0
24423870,Ingamar,Mateo,imateo1c@goodreads.com,2,207 Leroy Avenue,0
92383547,Yoshiko,O'Donegan,yodonegan1d@gov.uk,14,04311 Schiller Plaza,0
91550583,Torin,Lottrington,tlottrington1e@hc360.com,5,14885 1st Junction,0
97024898,Joletta,Foskew,jfoskew1f@last.fm,18,6 Hoard Circle,1
37177631,Legra,Rillett,lrillett1g@github.com,17,4261 Jackson Alley,1
33645766,Buddy,Ousby,bousby1h@tinyurl.com,17,07 Hoffman Center,0
15957481,Guthrey,Hamson,ghamson1i@facebook.com,20,54 Crescent Oaks Street,0
95286948,Carly,Neiland,cneiland1j@pen.io,18,163 Cordelia Plaza,0
72022083,Petronilla,Abden,pabden1k@51.la,15,90 High Crossing Alley,1
77883112,Raye,O'Cridigan,rocridigan1l@shutterfly.com,9,57985 Melrose Road,0
82536520,Leila,Leighfield,lleighfield1m@google.com.au,17,0 Fulton Center,1
43389055,Sarita,Scandwright,sscandwright1n@people.com.cn,14,50463 Buhler Parkway,0
44305294,Miguelita,Pickerin,mpickerin1o@ed.gov,19,88 Arkansas Way,0
88166613,Tully,Scheffler,tscheffler1p@reference.com,7,910 Moose Avenue,0
18267658,Dael,Shelper,dshelper1q@last.fm,10,76603 Pennsylvania Parkway,0
33949669,Elise,Glew,eglew1r@elpais.com,6,36 Lighthouse Bay Hill,0
10914824,Latia,Blankett,lblankett1s@cmu.edu,19,88 Riverside Junction,0
21826616,Davis,Brantzen,dbrantzen1t@vk.com,13,833 Donald Drive,0
32055695,Yankee,Guinn,yguinn1u@baidu.com,12,6 Badeau Lane,0
90058502,Edlin,Streater,estreater1v@sakura.ne.jp,5,1 Cambridge Plaza,1
39322718,Aviva,Lazar,alazar1w@prweb.com,19,516 North Court,1
28301874,Johnathan,Daley,jdaley1x@soundcloud.com,15,6159 Valley Edge Park,1
60946992,Kaylil,Lambarton,klambarton1y@pbs.org,15,5618 Sachtjen Point,1
89388168,Jarrod,Hand,jhand1z@intel.com,9,97 Walton Court,0
10124996,Ansley,Brient,abrient20@cnbc.com,7,7782 Westerfield Lane,0
25052830,Lira,Ivanyukov,livanyukov21@instagram.com,4,728 Northridge Lane,1
38246465,Breena,Colmer,bcolmer22@apache.org,1,011 Ryan Terrace,1
